Document Id,Event-Event Pair,Found,Found_Pair
32_11ecbplus.xml_1,double_murder_8_21-r-killing_41_48,1,1.0
32_11ecbplus.xml_3,sectioned_28_37-r-suicide_attempt_56_71,1,1.0
32_10ecbplus.xml_1,charged_27_34-r-killing_40_47,1,1.0
32_10ecbplus.xml_1,double_murder_7_20--charged_27_34,1,1.0
32_10ecbplus.xml_3,charged_15_22-r-murder_32_38,1,1.0
32_10ecbplus.xml_4,arrested_49_57--dead_104_108,1,1.0
32_10ecbplus.xml_6,charged_25_32--appear_49_55,1,1.0
32_10ecbplus.xml_7,animal_cruelty_30_44-r-dead_81_85,1,1.0
32_10ecbplus.xml_7,charged_17_24-r-animal_cruelty_30_44,1,1.0
32_7ecbplus.xml_1,held_4_8-r-murdered_27_35,1,1.0
32_7ecbplus.xml_3,quizzed_27_34-r-murders_59_66,1,1.0
32_7ecbplus.xml_4,arrested_34_42-r-arrived_78_85,1,1.0
32_8ecbplus.xml_2,charged_45_52-r-murder_62_68,1,1.0
32_8ecbplus.xml_4,charged_8_15-r-dead_43_47,1,1.0
32_8ecbplus.xml_5,dead_43_47-r-charged_80_87,1,1.0
32_8ecbplus.xml_5,charged_80_87-r-murder_97_103,1,1.0
32_8ecbplus.xml_6,charged_51_58-r-murder_68_74,1,1.0
32_8ecbplus.xml_7,dead_145_149-r-injuries_160_168,1,1.0
32_8ecbplus.xml_7,called_to_50_59--found_139_144,1,1.0
32_8ecbplus.xml_9,arrested_16_24-r-murder_41_47,1,1.0
32_1ecbplus.xml_1,held_23_27-r-killed_46_52,1,1.0
32_1ecbplus.xml_3,arrested_23_31-r-discovered_170_180,1,1.0
32_1ecbplus.xml_4,questioned_17_27-r-murder_44_50,1,1.0
32_1ecbplus.xml_6,called_12_18-r-screams_89_96,1,1.0
32_9ecbplus.xml_1,TRIAL_0_5-r-ACCUSED_23_30,1,1.0
32_9ecbplus.xml_3,trial_2_7-r-accused_41_48,1,1.0
32_9ecbplus.xml_3,accused_41_48-r-murdering_52_61,1,1.0
32_9ecbplus.xml_4,appear_23_29-r-danger_133_139,1,1.0
32_9ecbplus.xml_8,animal_cruelty_26_40-r-death_96_101,1,1.0
32_9ecbplus.xml_1,ACCUSED_23_30-r-DOUBLE_MURDER_34_47,1,1.0
32_6ecbplus.xml_1,charged_4_11-r-murdering_17_26,1,1.0
32_6ecbplus.xml_3,charged_31_38-r-murders_48_55,1,1.0
32_6ecbplus.xml_4,due_15_18-r-murders_37_44,1,1.0
32_6ecbplus.xml_5,dead_22_26--arrested_116_124,1,1.0
32_6ecbplus.xml_7,animal_cruelty_159_173-r-dead_205_209,1,1.0
32_6ecbplus.xml_7,charged_146_153-r-animal_cruelty_159_173,1,1.0
32_4ecbplus.xml_2,accused_12_19-r-murder_48_54,1,1.0
32_4ecbplus.xml_3,charged_47_54-r-murder_64_70,1,1.0
32_4ecbplus.xml_3,in_custody_24_34-r-charged_47_54,1,1.0
32_4ecbplus.xml_7,absence_39_46-r-risk_109_113,1,1.0
32_4ecbplus.xml_10,arrested_44_52-r-charged_132_139,1,1.0
32_4ecbplus.xml_10,arrested_44_52-r-state_99_115,1,1.0
32_4ecbplus.xml_10,charged_132_139-r-animal_cruelty_145_159,1,1.0
32_3ecbplus.xml_3,trial_14_19-r-accused_59_66,1,1.0
32_3ecbplus.xml_3,accused_59_66-r-killing_70_77,1,1.0
32_3ecbplus.xml_4,hearing_14_21-r-charged_45_52,1,1.0
32_3ecbplus.xml_4,charged_45_52-r-murders_62_69,1,1.0
32_3ecbplus.xml_5,do_60_73-r-risk_97_101,1,1.0
32_3ecbplus.xml_9,charge_79_85-r-suffering_109_118,1,1.0
32_3ecbplus.xml_9,suffering_109_118--death_157_162,1,1.0
32_3ecbplus.xml_1,TRIAL_12_17-r-DOUBLE_MURDER_39_52,1,1.0
32_2ecbplus.xml_9,locked_up_104_113--harming_132_139,1,1.0
32_2ecbplus.xml_10,called_12_18--found_100_105,1,1.0
